class_id,class_name,support,roc_auc,pr_auc,f1,precision,recall
72,blbgra1,92,0.7204727226317458,0.067549116354612,0.07422266800401203,0.04088397790055249,0.40217391304347827
73,blbwre1,26,0.9124589143931504,0.0620559817065374,0.0730593607305936,0.038834951456310676,0.6153846153846154
74,blcant4,22,0.8509608472708103,0.166671174495515,0.07741935483870968,0.041666666666666664,0.5454545454545454
75,blchaw1,11,0.8221676604700106,0.10938677195533733,0.03755868544600939,0.019801980198019802,0.36363636363636365
76,blcjay1,25,0.8073136427566807,0.035562500474820714,0.04205607476635514,0.022332506203473945,0.36
77,blctit1,6,0.8244845511360317,0.007503749524381116,0.010050251256281407,0.0051813471502590676,0.16666666666666666
78,blhpar1,51,0.8538623503092512,0.2690827013683002,0.12631578947368421,0.07075471698113207,0.5882352941176471
79,blkvul,14,0.7277341889554558,0.04286206537000561,0.012738853503184714,0.006666666666666667,0.14285714285714285
80,bobfly1,118,0.6632238227230729,0.06076731309113491,0.09869375907111756,0.0595446584938704,0.288135593220339
81,bobher1,8,0.8003943908851884,0.3982545737832616,0.14285714285714285,0.08333333333333333,0.5
82,brtpar1,18,0.8403960589210808,0.04266428971229406,0.040345821325648415,0.02127659574468085,0.3888888888888889
83,bubcur1,4,0.9428533893851814,0.01729464830222333,0.037037037037037035,0.02,0.25
84,bubwre1,87,0.7456370463897096,0.15380639499837462,0.11345218800648298,0.0660377358490566,0.40229885057471265
85,bucmot3,10,0.7052077853761178,0.04420694723309718,0.02072538860103627,0.01092896174863388,0.2
86,bugtan,73,0.7955722335567861,0.1410351717898435,0.0951188986232791,0.05234159779614325,0.5205479452054794
87,butsal1,61,0.8182451011102989,0.08490028040062908,0.09415584415584416,0.05225225225225225,0.47540983606557374
88,cargra1,23,0.8497745854664934,0.03169992642803848,0.03470715835140998,0.0182648401826484,0.34782608695652173
89,cattyr,25,0.8110196905766526,0.07857898084379791,0.05620608899297424,0.029850746268656716,0.48
90,chbant1,65,0.8681480169971671,0.11168155633616125,0.13972055888223553,0.08027522935779817,0.5384615384615384
91,chfmac1,30,0.8356413865915889,0.10991233522075126,0.06741573033707865,0.03680981595092025,0.4
92,cinbec1,14,0.8507758253327652,0.021227682464397733,0.023529411764705882,0.012165450121654502,0.35714285714285715
93,cocher1,8,0.9177475898334794,0.17055670747740986,0.1388888888888889,0.078125,0.625
94,cocwoo1,37,0.7543426089937717,0.10644233725796043,0.050793650793650794,0.026981450252951095,0.43243243243243246
95,colara1,11,0.8510411020056758,0.023308500441540172,0.02214022140221402,0.011538461538461539,0.2727272727272727
96,colcha1,33,0.8216282543747333,0.26204400362280045,0.14814814814814814,0.08974358974358974,0.42424242424242425
97,compau,172,0.8498964379698064,0.2626044423068051,0.28013029315960913,0.19457013574660634,0.5
98,compot1,78,0.9105464928446295,0.3574917279808411,0.20540540540540542,0.11949685534591195,0.7307692307692307
99,cotfly1,71,0.7211869230269957,0.15332209525790802,0.0896358543417367,0.049766718506998445,0.4507042253521127
100,crbtan1,14,0.7621136540245156,0.031152975080326266,0.02181818181818182,0.011194029850746268,0.42857142857142855
101,crcwoo1,32,0.7860851962682627,0.09705941395690507,0.05339805825242718,0.02894736842105263,0.34375
102,crebob1,13,0.7513292847503373,0.04899279337274632,0.03296703296703297,0.01775147928994083,0.23076923076923078
103,cregua1,16,0.9609224153063015,0.15069202881069485,0.0858085808580858,0.04529616724738676,0.8125
104,creoro1,57,0.730036725477059,0.07722755755120408,0.07246376811594203,0.04040404040404041,0.3508771929824561
105,eardov1,25,0.914099859353024,0.14958845438941007,0.0778688524590164,0.04103671706263499,0.76
106,fotfly,16,0.7326992276636826,0.05383965571353604,0.029411764705882353,0.015432098765432098,0.3125
107,gohman1,27,0.8549002748791703,0.028706914156726198,0.0410958904109589,0.02154398563734291,0.4444444444444444
108,grasal4,19,0.7228476882406227,0.012660805599033046,0.024489795918367346,0.01327433628318584,0.15789473684210525
109,grbhaw1,21,0.8385118629321019,0.03398798347303912,0.05221932114882506,0.027624309392265192,0.47619047619047616
110,greani1,31,0.8335547456029794,0.1414226489796471,0.0967741935483871,0.05806451612903226,0.2903225806451613
111,greegr,70,0.9043011569327358,0.3584011978511624,0.3225806451612903,0.215311004784689,0.6428571428571429
112,greibi1,26,0.8240183414264652,0.24783076752645125,0.1497326203208556,0.08695652173913043,0.5384615384615384
113,grekis,298,0.6722595078299777,0.10789121717647934,0.17289719626168223,0.13261648745519714,0.2483221476510067
114,grepot1,14,0.9625999548793022,0.11452006723353636,0.07272727272727272,0.038314176245210725,0.7142857142857143
115,gretin1,19,0.8938679681289631,0.23781903805822802,0.0781758957654723,0.041666666666666664,0.631578947368421
116,grnkin,26,0.8415110035032666,0.12532966160992445,0.0711743772241993,0.0392156862745098,0.38461538461538464
117,grysee1,5,0.8132796075683252,0.016761863691320007,0.043478260869565216,0.024390243902439025,0.2
118,gybmar,34,0.7785986555213739,0.0778091096705145,0.04516129032258064,0.025362318840579712,0.20588235294117646
119,gycwor1,75,0.8965969019746955,0.37245637957336936,0.31901840490797545,0.20717131474103587,0.6933333333333334
120,labter1,14,0.8539092071290703,0.2611284502245019,0.08,0.04265402843601896,0.6428571428571429
121,laufal1,97,0.8896938423355948,0.5444940066625292,0.3251231527093596,0.21359223300970873,0.6804123711340206
122,leagre,22,0.8146914586028977,0.07974910255736048,0.05351170568561873,0.02888086642599278,0.36363636363636365
123,linwoo1,71,0.6969109945029981,0.16524676639391586,0.1366906474820144,0.09178743961352658,0.2676056338028169
124,littin1,72,0.7994063798774843,0.1959783141153299,0.1134020618556701,0.06470588235294118,0.4583333333333333
125,mastit1,22,0.8054743534448332,0.019256510595591417,0.02416918429003021,0.012944983818770227,0.18181818181818182
126,neocor,28,0.764694057042342,0.11390174271677561,0.07729468599033816,0.0446927374301676,0.2857142857142857
127,norscr1,3,0.9354932866316403,0.3363473818646232,0.044444444444444446,0.023809523809523808,0.3333333333333333
128,olipic1,9,0.8856358111266946,0.013124741160610295,0.03550295857988166,0.01875,0.3333333333333333
129,orcpar,60,0.784699864378796,0.22593521383899232,0.10855263157894737,0.060218978102189784,0.55
130,palhor2,14,0.8274258641866994,0.3078614532307979,0.08450704225352113,0.046875,0.42857142857142855
131,paltan1,51,0.7739314729777464,0.07451883149282776,0.060335195530726256,0.031990521327014215,0.5294117647058824
132,pavpig2,41,0.8072388111046133,0.1028429480903916,0.11351351351351352,0.06382978723404255,0.5121951219512195
133,piepuf1,13,0.7836504723346829,0.06391744123530307,0.03802281368821293,0.02,0.38461538461538464
134,pirfly1,91,0.7527110918252861,0.0649395381093918,0.09595484477892756,0.05246913580246913,0.5604395604395604
135,piwtyr1,5,0.8953573931324457,0.008800179486161139,0.0,0.0,0.0
136,plbwoo1,37,0.8493467039978668,0.03774217108360085,0.06007067137809187,0.03213610586011342,0.4594594594594595
137,plctan1,1,0.9992997198879552,0.2,0.09090909090909091,0.047619047619047616,1.0
138,plukit1,8,0.5810473269062226,0.009806543467648823,0.010526315789473684,0.005494505494505495,0.125
139,purgal2,29,0.8828714601179354,0.10234134561833623,0.12,0.06787330316742081,0.5172413793103449
140,ragmac1,18,0.86780801872988,0.1398425962814793,0.08928571428571429,0.04854368932038835,0.5555555555555556
141,rebbla1,13,0.8216059379217273,0.018851086839463647,0.0449438202247191,0.023622047244094488,0.46153846153846156
142,recwoo1,29,0.8359308646169527,0.14955039255627486,0.06876790830945559,0.0375,0.41379310344827586
143,rinkin1,51,0.8122398376517687,0.30586405597607014,0.1423948220064725,0.08527131782945736,0.43137254901960786
144,roahaw,142,0.7063401771244953,0.10307265513337097,0.14466546112115733,0.09732360097323602,0.28169014084507044
145,rosspo1,7,0.7988082719943919,0.22087569819824768,0.08888888888888889,0.05263157894736842,0.2857142857142857
146,royfly1,8,0.8745398773006136,0.043711686113324516,0.029850746268656716,0.015544041450777202,0.375
147,rtlhum,32,0.913081983805668,0.22369164354889964,0.09433962264150944,0.05102040816326531,0.625
148,rubsee1,14,0.8602135713032362,0.16916565917498938,0.03058103975535168,0.01597444089456869,0.35714285714285715
149,rufmot1,20,0.8533462146495696,0.1352781403707632,0.04155844155844156,0.021917808219178082,0.4
150,rugdov,50,0.8290905880275472,0.14108339715454193,0.11553784860557768,0.06415929203539823,0.58
151,rumfly1,57,0.7316326087495968,0.03768352647004958,0.047244094488188976,0.02502606882168926,0.42105263157894735
152,ruther1,16,0.7542675969808672,0.09126445095048596,0.05581395348837209,0.03015075376884422,0.375
153,rutjac1,61,0.7747177845068625,0.06856653792753888,0.0840764331210191,0.04558011049723757,0.5409836065573771
154,rutpuf1,4,0.8980557015239096,0.25379021699418036,0.06060606060606061,0.034482758620689655,0.25
155,saffin,101,0.8400369081811958,0.19425064138150933,0.14097968936678615,0.08016304347826086,0.5841584158415841
156,sahpar1,3,0.9798015178050203,0.22513767411726593,0.0784313725490196,0.041666666666666664,0.6666666666666666
157,savhaw1,11,0.7445553394343293,0.03159240815705462,0.018018018018018018,0.009237875288683603,0.36363636363636365
158,secfly1,33,0.8107714468629962,0.352017467043897,0.09855072463768116,0.05448717948717949,0.5151515151515151
159,shghum1,3,0.8656158785755983,0.01580318163051976,0.0625,0.034482758620689655,0.3333333333333333
160,shtfly1,18,0.7749341527655839,0.009054294518352674,0.01929260450160772,0.010238907849829351,0.16666666666666666
161,smbani,69,0.7520016125884613,0.055995698899618244,0.07369758576874205,0.0403899721448468,0.42028985507246375
162,snoegr,23,0.8837395889050204,0.05867615704140828,0.08108108108108109,0.04522613065326633,0.391304347826087
163,sobtyr1,104,0.7321500815996269,0.062221658367790214,0.09935205183585313,0.05596107055961071,0.4423076923076923
164,socfly1,126,0.7238870848142371,0.07822402434868662,0.09828571428571428,0.05740987983978638,0.3412698412698413
165,solsan,48,0.8431818181818181,0.13977809169353506,0.08695652173913043,0.04712041884816754,0.5625
166,soulap1,118,0.8963398009724179,0.3967158728213306,0.2135678391959799,0.12536873156342182,0.7203389830508474
167,spbwoo1,10,0.69815009644047,0.04543420578200186,0.02030456852791878,0.0106951871657754,0.2
168,speowl1,40,0.9444826370527057,0.22237610527014626,0.15566037735849056,0.0859375,0.825
169,spepar1,17,0.909699272967614,0.2939362932105178,0.06451612903225806,0.03380281690140845,0.7058823529411765
170,srwswa1,24,0.8663282943692506,0.10499000888840812,0.05622489959839357,0.029535864978902954,0.5833333333333334
171,stbwoo2,47,0.7921870658124985,0.2074545646852873,0.09977324263038549,0.05583756345177665,0.46808510638297873
172,strcuc1,97,0.7425507386847593,0.12692070668110217,0.09513274336283185,0.05328376703841388,0.44329896907216493
173,strfly1,79,0.7044627330448497,0.14348552572930998,0.10476190476190476,0.05989110707803993,0.4177215189873418
174,strher,35,0.8462637749710662,0.2677355231799773,0.09221902017291066,0.05128205128205128,0.45714285714285713
175,strowl1,33,0.8275128040973111,0.03597366862275561,0.050314465408805034,0.026533996683250415,0.48484848484848486
176,tbsfin1,8,0.7716257668711657,0.38215922339628233,0.050955414012738856,0.026845637583892617,0.5
177,thbeup1,36,0.7711379249603664,0.03455789304783414,0.04553415061295972,0.024299065420560748,0.3611111111111111
178,thlsch3,19,0.8963913999963027,0.12307087263578342,0.04583333333333333,0.02386117136659436,0.5789473684210527
179,trokin,199,0.7279711032492896,0.11112145412342314,0.16981132075471697,0.11093990755007704,0.36180904522613067
180,tropar,88,0.7909222222222222,0.1972269110553324,0.1264957264957265,0.0744466800804829,0.42045454545454547
181,trsowl,99,0.8750328363794697,0.19450022475409995,0.18322981366459629,0.10825688073394496,0.5959595959595959
182,turvul,2,0.9084661180178603,0.0033354623518557945,0.0,0.0,0.0
183,verfly,14,0.7234477226581104,0.00879518250284557,0.020366598778004074,0.010482180293501049,0.35714285714285715
184,watjac1,33,0.9109048228766539,0.316398447283179,0.13592233009708737,0.07608695652173914,0.6363636363636364
185,wbwwre1,101,0.8009516382857103,0.10921010915725936,0.1315345699831366,0.07926829268292683,0.38613861386138615
186,whbant1,21,0.8330488906736272,0.16106079505149506,0.05830903790087463,0.031055900621118012,0.47619047619047616
187,whbman1,52,0.7672332966450613,0.06880509496316872,0.05956112852664577,0.032423208191126277,0.36538461538461536
